Week_Start_Date,Neighborhood,Population_Density_per_km2,Number_of_Businesses,Avg_Household_Size,Market_Present,Industrial_Zone,Collection_Frequency_per_Week,Month,Weekly_Waste_Weight_kg
2020-01-06,Bambili,4432,432,8.3,0,0,1,1,2736.7
2020-01-13,Bambili,4403,428,8.4,0,0,1,1,2407.3
2020-01-20,Bambili,4360,427,8.3,0,0,1,1,2346.0
2020-01-27,Bambili,4373,433,8.4,0,0,1,1,2831.3
2020-02-03,Bambili,4352,426,7.7,0,0,1,2,2688.3
2020-02-10,Bambili,4355,434,8.1,0,0,1,2,2993.1
2020-02-17,Bambili,4414,428,8.1,0,0,1,2,2904.8
2020-02-24,Bambili,4420,430,8.5,0,0,1,2,2977.3
2020-03-02,Bambili,4356,428,8.1,0,0,1,3,2661.7
2020-03-09,Bambili,4406,433,8.2,0,0,1,3,2793.0
2020-03-16,Bambili,4382,436,8.7,0,0,1,3,2974.0
2020-03-23,Bambili,4421,436,8.2,0,0,1,3,2999.9
2020-03-30,Bambili,4380,428,8.5,0,0,1,3,3385.9
2020-04-06,Bambili,4422,426,7.9,0,0,1,4,3366.1
2020-04-13,Bambili,4438,426,8.2,0,0,1,4,3229.4
2020-04-20,Bambili,4358,427,8.1,0,0,1,4,3069.3
2020-04-27,Bambili,4416,431,8.4,0,0,1,4,3460.8
2020-05-04,Bambili,4450,431,8.2,0,0,1,5,4147.5
2020-05-11,Bambili,4421,431,8.1,0,0,1,5,3087.0
2020-05-18,Bambili,4420,430,8.2,0,0,1,5,3609.2
2020-05-25,Bambili,4433,431,8.2,0,0,1,5,3220.7
2020-06-01,Bambili,4380,427,8.2,0,0,1,6,2970.2
2020-06-08,Bambili,4405,428,8.2,0,0,1,6,3312.6
2020-06-15,Bambili,4374,433,8.3,0,0,1,6,3376.0
2020-06-22,Bambili,4430,426,8.3,0,0,1,6,3281.3
2020-06-29,Bambili,4406,432,8.6,0,0,1,6,3932.1
2020-07-06,Bambili,4351,429,8.3,0,0,1,7,3697.6
2020-07-13,Bambili,4355,429,8.4,0,0,1,7,3518.7
2020-07-20,Bambili,4352,436,8.1,0,0,1,7,3093.3
2020-07-27,Bambili,4422,426,8.1,0,0,1,7,3612.8
2020-08-03,Bambili,4393,430,8.2,0,0,1,8,3776.5
2020-08-10,Bambili,4398,434,8.0,0,0,1,8,3110.4
2020-08-17,Bambili,4378,429,8.3,0,0,1,8,3295.5
2020-08-24,Bambili,4377,429,8.3,0,0,1,8,3309.7
2020-08-31,Bambili,4422,427,8.5,0,0,1,8,3100.9
2020-09-07,Bambili,4422,429,8.4,0,0,1,9,3045.7
2020-09-14,Bambili,4420,427,8.3,0,0,1,9,3212.0
2020-09-21,Bambili,4388,426,8.5,0,0,1,9,2879.0
2020-09-28,Bambili,4356,435,8.2,0,0,1,9,3244.1
2020-10-05,Bambili,4445,426,8.1,0,0,1,10,2925.1
2020-10-12,Bambili,4440,431,8.4,0,0,1,10,2916.5
2020-10-19,Bambili,4421,428,8.6,0,0,1,10,2495.6
2020-10-26,Bambili,4393,429,8.2,0,0,1,10,2927.9
2020-11-02,Bambili,4427,430,8.2,0,0,1,11,2282.1
2020-11-09,Bambili,4362,426,8.3,0,0,1,11,2887.8
2020-11-16,Bambili,4351,434,8.2,0,0,1,11,2717.3
2020-11-23,Bambili,4363,435,8.6,0,0,1,11,2537.1
2020-11-30,Bambili,4413,436,8.1,0,0,1,11,2415.5
2020-12-07,Bambili,4423,426,8.4,0,0,1,12,2609.1
2020-12-14,Bambili,4428,430,8.2,0,0,1,12,2613.6
2020-12-21,Bambili,4435,430,8.5,0,0,1,12,2567.8
2020-12-28,Bambili,4375,435,8.6,0,0,1,12,2533.6
2021-01-04,Bambili,4426,436,8.4,0,0,1,1,2976.5
2021-01-11,Bambili,4427,431,8.4,0,0,1,1,2626.0
2021-01-18,Bambili,4370,433,8.3,0,0,1,1,2688.6
2021-01-25,Bambili,4402,430,8.4,0,0,1,1,2819.2
2021-02-01,Bambili,4425,434,8.5,0,0,1,2,2695.2
2021-02-08,Bambili,4362,426,8.5,0,0,1,2,2703.7
2021-02-15,Bambili,4431,433,8.3,0,0,1,2,2935.1
2021-02-22,Bambili,4413,427,8.4,0,0,1,2,2671.9
2021-03-01,Bambili,4431,428,8.3,0,0,1,3,2636.5
2021-03-08,Bambili,4439,426,8.1,0,0,1,3,2834.9
2021-03-15,Bambili,4447,427,8.6,0,0,1,3,2936.0
2021-03-22,Bambili,4434,432,8.7,0,0,1,3,2792.1
2021-03-29,Bambili,4383,432,8.3,0,0,1,3,2898.2
2021-04-05,Bambili,4392,434,8.2,0,0,1,4,3578.4
2021-04-12,Bambili,4359,431,8.1,0,0,1,4,2840.3
2021-04-19,Bambili,4399,428,8.5,0,0,1,4,3896.5
2021-04-26,Bambili,4424,430,8.4,0,0,1,4,3766.6
